2015-11 1920.0 1948.1999999999998 1916.6980600000002 1937.3290100000002
2015-12 4816.8 4164.3 4637.25688 4088.9218999999994
2016-01 6861.599999999999 6138.0 6585.16702 6131.0498
2016-02 8271.599999999999 7381.200000000001 7946.228610000001 7537.1964100000005
2016-03 11656.2 9497.7 11156.098240000001 9867.705320000001
2016-04 11911.8 9105.3 11579.42678 9592.96085
2016-05 12155.7 11105.7 12242.27538 11704.73005
2016-06 18921.0 16146.0 19699.33576 17702.07025
2016-07 22006.89 21019.89 23233.111679999998 22344.343070000003
2016-08 63618.63 58848.0 67909.28210000001 65727.39046
2016-09 96466.01999999999 97273.53 102415.45295 104880.21224000001
2016-10 162715.8 153865.17 165298.59355 163492.821709
